Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Job_Title_AI Engineer,Job_Title_Chef,Job_Title_Construction Worker,Job_Title_Customer Support,Job_Title_Data Scientist,Job_Title_Doctor,Job_Title_Financial Analyst,Job_Title_Graphic Designer,Job_Title_HR Specialist,Job_Title_Lawyer,Job_Title_Marketing Manager,Job_Title_Mechanic,Job_Title_Nurse,Job_Title_Research Scientist,Job_Title_Retail Worker,Job_Title_Security Guard,Job_Title_Software Engineer,Job_Title_Teacher,Job_Title_Truck Driver,Job_Title_UX Researcher,Skill_Index,High_Risk
0.13162948366842564,0.9655172413793103,0.6666666666666666,0.18,0.78,0.85,1.0,0.45,0.1,0.46,0.33,0.14,0.65,0.06,0.72,0.94,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.385,1
0.8627095718388886,0.6896551724137931,1.0,0.62,0.6100000000000001,0.05,0.0,0.02,0.52,0.4,0.05,0.97,0.23,0.09,0.62,0.38,0.98,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.426,0
0.9700921782112084,0.06896551724137931,0.0,0.86,0.6799999999999999,0.81,1.0,0.01,0.94,0.56,0.39,0.02,0.23,0.24,0.68,0.61,0.83,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.45099999999999996,1
0.8892191570369381,0.4482758620689655,1.0,0.39,0.18000000000000005,0.6,0.5,0.43,0.21,0.57,0.03,0.84,0.45,0.4,0.93,0.73,0.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.492,0
0.3370432836817849,0.7586206896551724,0.0,0.52,0.96,0.64,0.5,0.75,0.54,0.59,0.97,0.61,0.28,0.3,0.17,0.02,0.42,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.46499999999999986,0
0.5223598957985438,0.3793103448275862,0.6666666666666666,0.29,0.010000000000000009,0.1,0.0,0.71,0.79,0.61,0.93,0.65,0.91,0.85,0.45,0.1,0.37,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6369999999999999,0
0.6457734954244874,0.7931034482758621,1.0,0.67,0.5900000000000001,0.41,0.5,0.56,0.38,0.97,0.85,0.72,0.24,0.26,0.04,0.71,0.11,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.4840000000000001,0
0.19528588604635633,0.41379310344827586,0.0,0.2,0.8999999999999999,0.17,0.0,0.56,0.7,0.14,0.6,0.54,0.2,0.94,0.6,0.69,0.88,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.5850000000000001,0
0.9117209939215818,0.41379310344827586,0.6666666666666666,0.3,0.10999999999999999,0.48,0.5,0.22,0.42,0.88,0.32,0.12,0.36,0.91,0.27,0.65,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.41500000000000004,0
0.4591042682519538,0.06896551724137931,0.0,0.01,0.51,0.8,1.0,0.22,0.12,0.34,0.94,0.32,0.52,0.7,0.36,0.97,0.96,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.545,1
0.4400424153363169,0.20689655172413793,0.0,0.5,0.30000000000000004,0.41,0.5,0.04,0.61,0.5,0.05,0.28,0.91,0.24,0.14,0.49,0.99,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.425,0
0.7299529089573176,0.7586206896551724,0.0,0.67,0.76,0.4,0.5,0.73,0.37,0.63,0.63,0.54,0.09,0.84,0.32,0.19,0.04,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.438,0
0.4156452474784584,0.9310344827586207,0.0,0.68,0.020000000000000018,0.5,0.5,0.23,0.65,0.17,0.69,0.39,0.94,0.14,0.34,0.11,0.92,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.458,0
0.7176457818449002,0.3103448275862069,0.0,0.26,0.6599999999999999,0.63,0.5,0.56,0.53,0.24,0.09,0.9,0.9,0.63,0.34,0.35,0.73,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5269999999999999,0
0.5565760470242469,0.6551724137931034,0.6666666666666666,0.89,0.78,0.21,0.0,0.08,0.16,0.9,0.61,0.01,0.1,0.66,0.01,0.16,0.55,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.324,0
0.023704161378665434,0.06896551724137931,0.0,0.65,0.21999999999999997,0.58,0.5,0.24,0.33,0.75,0.65,0.85,0.66,0.57,0.09,0.37,0.27,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.4780000000000001,0
0.057302451406051724,1.0,0.3333333333333333,0.97,0.39,0.27,0.0,0.63,0.79,0.5,0.58,0.49,0.2,0.72,0.28,0.02,0.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.48600000000000004,0
0.615473248280008,0.3793103448275862,0.3333333333333333,0.94,0.95,0.28,0.0,0.37,0.02,0.93,0.43,0.97,0.96,0.85,0.29,0.39,0.85,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.6059999999999999,0
0.9851128849108277,0.06896551724137931,1.0,0.17,0.56,0.93,1.0,0.7,0.57,0.1,0.62,0.99,0.14,0.52,0.88,0.74,0.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5960000000000001,1
0.651584730478926,0.5172413793103449,0.6666666666666666,0.55,0.30000000000000004,0.15,0.0,0.26,0.61,0.08,0.01,0.63,0.19,0.07,0.4,0.05,0.89,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.319,0
0.11165753790661948,0.034482758620689655,0.0,0.09,0.5800000000000001,0.06,0.0,0.47,0.54,0.29,0.59,0.03,0.04,0.82,0.36,0.13,0.52,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.379,0
0.162631086767751,0.9310344827586207,0.3333333333333333,0.22,0.6200000000000001,0.33,0.5,0.05,0.53,0.54,0.64,0.73,0.98,0.52,0.32,0.8,0.27,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.538,0
0.23563055240130926,0.8620689655172413,1.0,0.08,0.030000000000000027,0.29,0.0,0.84,0.7,0.41,0.17,0.16,0.25,0.55,0.71,0.66,0.28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.47300000000000003,0
0.027661812838153776,0.9655172413793103,0.0,0.74,0.55,0.54,0.5,0.42,0.25,0.36,0.76,0.01,0.12,0.05,0.04,0.86,0.7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.35699999999999993,0
